"mixture_name","name","weight","mod_var_name","mod_level","imputation_number"
"PFAS","pfoa.t1.res",-0.435609112361661,"fol.intake3",1,5
"PFAS","pfhxs.t1.res",1,"fol.intake3",2,5
"PFAS","pfos.t1.res",-0.658719510376357,"fol.intake3",2,5
"PFAS","pfoa.t1.res",-0.341280489623643,"fol.intake3",2,5
"PFAS","pfhxs.t1.res",1,"fol.intake3",3,5
"PFAS","pfos.t1.res",-0.299285541505058,"fol.intake3",3,5
"PFAS","pfoa.t1.res",-0.700714458494942,"fol.intake3",3,5
"PFAS","pfhxs.t1.res",-0.567177191061563,"fol.intake3",1,6
"PFAS","pfos.t1.res",1,"fol.intake3",1,6
"PFAS","pfoa.t1.res",-0.432822808938437,"fol.intake3",1,6
"PFAS","pfhxs.t1.res",1,"fol.intake3",2,6
"PFAS","pfos.t1.res",-0.617163526908149,"fol.intake3",2,6
"PFAS","pfoa.t1.res",-0.382836473091851,"fol.intake3",2,6
"PFAS","pfhxs.t1.res",1,"fol.intake3",3,6
"PFAS","pfos.t1.res",-0.160624923978265,"fol.intake3",3,6
"PFAS","pfoa.t1.res",-0.839375076021735,"fol.intake3",3,6
"PFAS","pfhxs.t1.res",-0.641426658054579,"fol.intake3",1,7
"PFAS","pfos.t1.res",1,"fol.intake3",1,7
"PFAS","pfoa.t1.res",-0.358573341945421,"fol.intake3",1,7
"PFAS","pfhxs.t1.res",1,"fol.intake3",2,7
"PFAS","pfos.t1.res",-0.672464065161865,"fol.intake3",2,7
"PFAS","pfoa.t1.res",-0.327535934838135,"fol.intake3",2,7
"PFAS","pfhxs.t1.res",1,"fol.intake3",3,7
"PFAS","pfos.t1.res",-0.545592444159269,"fol.intake3",3,7
"PFAS","pfoa.t1.res",-0.454407555840731,"fol.intake3",3,7
"PFAS","pfhxs.t1.res",-0.594755854626632,"fol.intake3",1,8
"PFAS","pfos.t1.res",1,"fol.intake3",1,8
"PFAS","pfoa.t1.res",-0.405244145373367,"fol.intake3",1,8
"PFAS","pfhxs.t1.res",1,"fol.intake3",2,8
"PFAS","pfos.t1.res",-0.662544563785049,"fol.intake3",2,8
"PFAS","pfoa.t1.res",-0.337455436214951,"fol.intake3",2,8
"PFAS","pfhxs.t1.res",1,"fol.intake3",3,8
"PFAS","pfos.t1.res",-0.606021606908037,"fol.intake3",3,8
"PFAS","pfoa.t1.res",-0.393978393091963,"fol.intake3",3,8
"PFAS","pfhxs.t1.res",-0.562019965545149,"fol.intake3",1,9
"PFAS","pfos.t1.res",1,"fol.intake3",1,9
"PFAS","pfoa.t1.res",-0.437980034454851,"fol.intake3",1,9
"PFAS","pfhxs.t1.res",1,"fol.intake3",2,9
"PFAS","pfos.t1.res",-0.637852928859824,"fol.intake3",2,9
"PFAS","pfoa.t1.res",-0.362147071140176,"fol.intake3",2,9
"PFAS","pfhxs.t1.res",1,"fol.intake3",3,9
"PFAS","pfos.t1.res",-0.424883233708552,"fol.intake3",3,9
"PFAS","pfoa.t1.res",-0.575116766291448,"fol.intake3",3,9
"PFAS","pfhxs.t1.res",-0.574656360627176,"fol.intake3",1,10
"PFAS","pfos.t1.res",1,"fol.intake3",1,10
"PFAS","pfoa.t1.res",-0.425343639372824,"fol.intake3",1,10
"PFAS","pfhxs.t1.res",1,"fol.intake3",2,10
"PFAS","pfos.t1.res",-0.614767531392577,"fol.intake3",2,10
"PFAS","pfoa.t1.res",-0.385232468607423,"fol.intake3",2,10
"PFAS","pfhxs.t1.res",1,"fol.intake3",3,10
"PFAS","pfos.t1.res",-0.395002984861386,"fol.intake3",3,10
"PFAS","pfoa.t1.res",-0.604997015138614,"fol.intake3",3,10
"PCBs","pcb118.t1.res",-0.00246479204855582,"fol.intake3",1,1
"PCBs","pcb138.t1.res",0.520031507035167,"fol.intake3",1,1
"PCBs","pcb153.t1.res",0.479968492964833,"fol.intake3",1,1
"PCBs","pcb180.t1.res",-0.997535207951444,"fol.intake3",1,1
"PCBs","pcb118.t1.res",-0.670676349527779,"fol.intake3",2,1
"PCBs","pcb138.t1.res",1,"fol.intake3",2,1
"PCBs","pcb153.t1.res",-0.122688198639903,"fol.intake3",2,1
"PCBs","pcb180.t1.res",-0.206635451832319,"fol.intake3",2,1
"PCBs","pcb118.t1.res",0.0760946056642623,"fol.intake3",3,1
"PCBs","pcb138.t1.res",-0.57608255753896,"fol.intake3",3,1
"PCBs","pcb153.t1.res",0.923905394335738,"fol.intake3",3,1
"PCBs","pcb180.t1.res",-0.42391744246104,"fol.intake3",3,1
"PCBs","pcb118.t1.res",0.209558794120752,"fol.intake3",1,2
"PCBs","pcb138.t1.res",0.279710779054695,"fol.intake3",1,2
"PCBs","pcb153.t1.res",0.510730426824553,"fol.intake3",1,2
"PCBs","pcb180.t1.res",-1,"fol.intake3",1,2
"PCBs","pcb118.t1.res",-0.542993490319075,"fol.intake3",2,2
"PCBs","pcb138.t1.res",1,"fol.intake3",2,2
"PCBs","pcb153.t1.res",-0.319748474675904,"fol.intake3",2,2
